,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2215,0.04918008,0.45347995,0.80185544,0.37991542,0.7474096,0.6900481,-0.39080793,0.5536897,-0.7297555,1.313257,-0.7873203,-0.8303997,-0.013255524,0.3024818,-0.47433048,-0.8758375,0.42869726,0.631985,0.021920871,0.43579158
0,0.04915298,0.4535272,0.80185765,0.37992352,0.7474012,0.690029,-0.390853,0.55368376,-0.7297366,1.3132703,-0.787305,-0.8304151,-0.013261783,0.30246103,-0.4743399,-0.87584126,0.4286708,0.6320158,0.021921182,0.43577027
2219,0.049151756,0.4535295,0.801857,0.3799242,0.74739856,0.69002664,-0.39085618,0.5536847,-0.7297347,1.3132693,-0.7873022,-0.8304164,-0.013263094,0.3024581,-0.47434244,-0.8758394,0.4286728,0.6320169,0.021921456,0.43576783
230,0.049154125,0.4535245,0.8018584,0.37992245,0.74740374,0.6900319,-0.3908499,0.553683,-0.72973853,1.3132708,-0.78730744,-0.83041364,-0.013260794,0.30246222,-0.47433743,-0.8758424,0.42867,0.63201463,0.021921694,0.43577233
230,0.049154125,0.4535245,0.8018584,0.37992245,0.74740374,0.6900319,-0.3908499,0.553683,-0.72973853,1.3132708,-0.78730744,-0.83041364,-0.013260794,0.30246222,-0.47433743,-0.8758424,0.42867,0.63201463,0.021921694,0.43577233
0,0.049152005,0.4535293,0.8018571,0.37992412,0.74739856,0.6900266,-0.39085603,0.5536846,-0.7297349,1.3132694,-0.7873019,-0.8304167,-0.013262582,0.30245915,-0.47434273,-0.8758394,0.42867264,0.632017,0.021920871,0.43576813
0,0.049151994,0.45352918,0.8018571,0.37992424,0.7473986,0.69002664,-0.39085585,0.5536846,-0.7297346,1.3132691,-0.78730196,-0.83041656,-0.013262558,0.302459,-0.4743429,-0.87583953,0.42867288,0.6320169,0.0219208,0.43576804
0,0.04987974,0.45302528,0.8015898,0.3800333,0.7479656,0.6904023,-0.39034718,0.5531317,-0.7299818,1.3135108,-0.7877024,-0.83040917,-0.013331031,0.30374104,-0.4741034,-0.8760389,0.42837253,0.6316582,0.021024406,0.43632826
0,0.049357414,0.45332965,0.8018004,0.37994024,0.7475599,0.6901456,-0.39065814,0.5535587,-0.7298301,1.3133091,-0.7874378,-0.8303889,-0.01325841,0.30281013,-0.4742548,-0.87589157,0.42862454,0.63188696,0.021698307,0.4359451
0,0.049168754,0.45349437,0.8018614,0.37991807,0.74741346,0.6900429,-0.39082074,0.55368626,-0.72975314,1.3132617,-0.787317,-0.8304043,-0.013249934,0.30247647,-0.47433048,-0.87584364,0.4286805,0.6319979,0.021918654,0.4357873
